"","hh_ID","freq_mean","pct_meat_mean","pct_fish_mean","pct_protein_mean","calories_total_grams_mean","avg_calories_pp_mean","fish_calories_wk_mean","meat_calories_wk_mean","protein_calories_wk_mean","freq_sd","pct_meat_sd","pct_fish_sd","pct_protein_sd","calories_total_grams_sd","avg_calories_pp_sd","fish_calories_wk_sd","meat_calories_wk_sd","protein_calories_wk_sd","freq_var","pct_meat_var","pct_fish_var","pct_protein_var","calories_total_grams_var","avg_calories_pp_var","fish_calories_wk_var","meat_calories_wk_var","protein_calories_wk_var","numChildren","hh_members","sex","age","maritalStatus","literacy","education","attendingCollege","occupationType","canCarry20L","canWalk5Km","canStandOwn","pctCanCarry20L","pctCanWalk5Km","pctCanStandOwn"
"11",105054,6,0.166666666666667,0.166666666666667,0.333333333333333,2562.00943333,1281.004716665,1039.6761,1160,2199.6761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"0",45,"2","4","2","0","self","1","1","1",0.5,1,1
"12",106058,4.33333333333333,0.0592592592592593,0.15042735042735,0.20968660968661,1667.86764255556,333.573528511111,527.950975888889,253.333333333333,781.284309222222,3.61247837363769,0.115950180872841,0.167336425472582,0.179985115170959,1284.69623040011,256.939246080021,627.767303056685,482.897504652903,646.099171009036,13.05,0.0134444444444444,0.0280014792899408,0.0323946416831032,1650444.40440424,66017.7761761698,394091.786787064,233190,417444.138778564,2,5,"0",21,"1","4","3","1","nonearning","1","1","1",0.2,0.8,1
"13",106059,1,1,0,1,1.3,0.216666666666667,0,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,"0",30,"2","4","2","0","trader","1","1","1",0.166666666666667,0.333333333333333,1
"14",106062,1.57142857142857,0,0.142857142857143,0.142857142857143,1162.09849237143,290.524623092857,158.085397142857,0,158.085397142857,1.06066017177982,0,0.353553390593274,0.353553390593274,1763.04631680865,440.761579202163,391.24139714199,0,391.24139714199,1.125,0,0.125,0.125,3108332.31521255,194270.769700785,153069.830837616,0,153069.830837616,1,4,"0",19,"1","4","7","1","trader","1","1","0",0.75,1,0.25
"15",106063,3.18518518518519,0.105864197530864,0.0950617283950617,0.200925925925926,3343.59172703704,835.897931759259,286.408856666667,444.814814814815,731.223671481481,2.09263491300343,0.183119359814712,0.15550110517885,0.204167601104238,2108.91254735452,527.22813683863,596.795822309658,715.024206152921,886.281460281762,4.37912087912088,0.0335326999389499,0.0241805937118437,0.0416844093406593,4447512.13238934,277969.508274333,356165.25352626,511259.615384615,785494.826839172,2,4,"0",33,"2","3","3","0","trader","1","1","1",0.5,0.5,1
"16",106064,3.07142857142857,0.184566326530612,0.211904761904762,0.396471088435374,2137.20102619986,427.440205239972,327.340056821429,601.0663265,928.406383321429,2.5918626960149,0.246600163075455,0.359484991820802,0.360000253702215,1512.87547125838,302.575094251676,628.081940135701,867.470661110535,874.810703698615,6.71775223499361,0.0608116404288408,0.129229459344402,0.129600182665659,2288792.19153527,91551.6876614109,394486.923524627,752505.347887549,765293.767305666,3,5,"0",46,"2","4","3","0","farming","1","1","1",0.4,0.4,0.8
"17",106066,1.66666666666667,0.333333333333333,0,0.333333333333333,1300,433.333333333333,0,653.333333333333,653.333333333333,1,0.5,0,0.5,511.761663276959,170.58722109232,0,980,980,1,0.25,0,0.25,261900,29100,0,960400,960400,0,3,"0",25,"1","4","3","0","farming","1","1","1",0.333333333333333,1,1
"18",106067,2,0,0,0,500,71.4285714285714,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,"0",29,"2","1","2","0","farming","1","1","1",0.285714285714286,0.428571428571429,0.857142857142857
"19",107068,1.80487804878049,0.0894308943089431,0.0040650406504065,0.0934959349593496,2171.0507759561,542.762693989024,25.3579536585366,259.372822297561,284.730775956098,1.32960789064188,0.184466196843155,0.025717224993682,0.191502690381311,900.084306580912,225.021076645228,160.425505105523,590.925477359153,692.578358672737,1.76785714285714,0.0340277777777778,0.000661375661375661,0.0366732804232804,810151.758953242,50634.4849345776,25736.3426883622,349192.919792143,479664.782901823,1,4,"0",35,"2","4","6","0","salaried","0","1","1",0,0.5,0.75
"20",107069,3.25,0.0357142857142857,0.3125,0.348214285714286,850.77332,212.69333,231.83582,186.25,418.08582,2.56904651573303,0.063887656499994,0.42328083664001,0.399297853124962,538.744337111935,134.686084277984,241.970410964189,333.174128647469,278.277883841875,6.6,0.00408163265306122,0.179166666666667,0.159438775510204,290245.460770179,18140.3412981362,58549.6797821786,111005,77438.5806355119,2,4,"0",32,"2","4","7","0","farming","1","0","1",0.75,0.25,1
